criterion,epoch,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Top-3 Acc,Macro Recall@3
weighted_ce,30,0.7527,0.7703414927620091,0.7527,0.7483240001779246,0.7660605291099577,0.9277,0.9277
weighted_ce,31,0.7573,0.7728944329859754,0.7573000000000001,0.7553897191600665,0.767886043494117,0.9279,0.9279
weighted_ce,32,0.7534,0.7759744551431121,0.7534,0.7505968626459879,0.7651559614544321,0.92,0.9199999999999999
weighted_ce,33,0.7255,0.751745825112962,0.7255,0.7189969137545744,0.7358789157567774,0.9123,0.9122999999999999
weighted_ce,34,0.7678,0.7784041485048252,0.7678,0.7623378589579141,0.7768311641687584,0.9311,0.9311
weighted_ce,35,0.7516,0.7773573627698587,0.7516,0.7447078373774156,0.7664696050382646,0.917,0.917
weighted_ce,36,0.7619,0.7792977629390098,0.7619,0.756727827305854,0.7756384671556014,0.9297,0.9297000000000001
weighted_ce,37,0.7839,0.8017950237102738,0.7838999999999999,0.7790691175782389,0.7966941769730345,0.9385,0.9385
weighted_ce,38,0.7477,0.7547259967225484,0.7477,0.7412472216336631,0.7576299850372493,0.9232,0.9231999999999999
weighted_ce,39,0.7464,0.7535342491240995,0.7464000000000001,0.7443121160991412,0.7507813170396479,0.9203,0.9202999999999999
weighted_ce,40,0.7688,0.7839897437959606,0.7687999999999999,0.7639930291735482,0.7788418486036612,0.9338,0.9338
weighted_ce,41,0.7785,0.7909331793813636,0.7785,0.7729125174409206,0.7876905218019737,0.9385,0.9385
weighted_ce,42,0.7821,0.7962899933161162,0.7821,0.7784856096327373,0.7898188184225299,0.9392,0.9391999999999999
weighted_ce,43,0.7605,0.7680750123310248,0.7605000000000001,0.7601892919590033,0.7695035616448465,0.9303,0.9303000000000001
weighted_ce,44,0.7676,0.7909025767974244,0.7676000000000001,0.7610165297106367,0.7831050836706741,0.9291,0.9291
weighted_ce,45,0.7656,0.7759045829062503,0.7656,0.7629343924416478,0.7754197989536412,0.9298,0.9298
weighted_ce,46,0.778,0.7947155719200499,0.778,0.7733728175316303,0.7916923754865773,0.9323,0.9323
weighted_ce,47,0.7401,0.7623705544001259,0.7401,0.7332985117094994,0.7575618466596807,0.9167,0.9167
weighted_ce,48,0.7804,0.7921506300579574,0.7804,0.7764978930441323,0.7922134699129192,0.9366,0.9366
weighted_ce,49,0.767,0.7809560366891507,0.767,0.7644134937885092,0.7775060874592044,0.9307,0.9307000000000001
weighted_ce,50,0.759,0.7751485746528893,0.759,0.7561995918272525,0.7702272805013322,0.9298,0.9298
weighted_ce,51,0.7712,0.8001630489720919,0.7712,0.7686028257842318,0.7898442529729125,0.9324,0.9324
weighted_ce,52,0.7649,0.7757976020375756,0.7649,0.7625570666934746,0.7728027590085746,0.9289,0.9289
weighted_ce,53,0.7789,0.7958454180436416,0.7788999999999999,0.7737708698565252,0.7921165196770382,0.9343,0.9343
weighted_ce,54,0.7793,0.7965284545543853,0.7793,0.7745755136001442,0.7920968680404362,0.9331,0.9330999999999999
