split,criterion,seed,epoch,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Top-3 Acc,Macro Recall@3
imbalanced,class_balanced_loss,seed_2,1,0.3584,0.45905931714239856,0.35840000000000005,0.34995552452948187,0.4047668055683372,0.6802,0.6801999999999999
imbalanced,class_balanced_loss,seed_2,2,0.5362,0.5496751887778759,0.5362,0.5141399299457421,0.5366014313102764,0.8364,0.8364
imbalanced,class_balanced_loss,seed_2,3,0.5453,0.6152161143969739,0.5453,0.5373891551711517,0.5512528538892456,0.8131,0.8131
imbalanced,class_balanced_loss,seed_2,4,0.6425,0.6706210658404197,0.6424999999999998,0.6404562806293252,0.6493075696815342,0.8839,0.8839
imbalanced,class_balanced_loss,seed_2,5,0.6632,0.7035462232379018,0.6632,0.6632937929250612,0.6663360300185627,0.8862,0.8862000000000002
imbalanced,class_balanced_loss,seed_2,6,0.6563,0.7009928704244286,0.6563000000000001,0.6574346384799447,0.6667565682048829,0.8709,0.8709
imbalanced,class_balanced_loss,seed_2,7,0.6609,0.7203201896891006,0.6609,0.6627891009590499,0.681734769679919,0.8813,0.8812999999999999
imbalanced,class_balanced_loss,seed_2,8,0.6444,0.7258998730411077,0.6444,0.6467681669904094,0.6733193565384922,0.8557,0.8557
imbalanced,class_balanced_loss,seed_2,9,0.7208,0.7451748898315251,0.7208,0.7197912101724373,0.7290499240528652,0.9091,0.9090999999999999
imbalanced,class_balanced_loss,seed_2,10,0.7129,0.7508397108436256,0.7129000000000001,0.7129212124733467,0.7318061912846585,0.8932,0.8932
imbalanced,class_balanced_loss,seed_2,11,0.735,0.757614293218472,0.735,0.7295388791504577,0.7496894676222163,0.9102,0.9102
imbalanced,class_balanced_loss,seed_2,12,0.7251,0.7380581070037923,0.7251000000000001,0.7200006355379849,0.7323286714737923,0.9086,0.9086000000000001
imbalanced,class_balanced_loss,seed_2,13,0.7265,0.7525898715487052,0.7264999999999999,0.7263367285734135,0.7311447006194964,0.9126,0.9126
imbalanced,class_balanced_loss,seed_2,14,0.7141,0.7404330747644602,0.7141,0.7072608594481398,0.7245715603836432,0.8958,0.8958
imbalanced,class_balanced_loss,seed_2,15,0.7304,0.7503734373428852,0.7304,0.7244098551781709,0.7416393604755549,0.902,0.9020000000000001
imbalanced,class_balanced_loss,seed_2,16,0.7334,0.7435412402710051,0.7333999999999999,0.7289731241327099,0.7376328120973914,0.9165,0.9165000000000001
imbalanced,class_balanced_loss,seed_2,17,0.7411,0.7575797982256447,0.7411000000000001,0.7316884029644303,0.7527154221955417,0.9095,0.9095000000000001
imbalanced,class_balanced_loss,seed_2,18,0.6247,0.6703606652850012,0.6247,0.6149116269950446,0.6215949239946427,0.851,0.851
imbalanced,class_balanced_loss,seed_2,19,0.7439,0.7694337045712973,0.7438999999999999,0.7391903255268828,0.7532927069174576,0.9183,0.9183
imbalanced,class_balanced_loss,seed_2,20,0.7299,0.7484041060251143,0.7299,0.7300204945148125,0.7490356438681008,0.9124,0.9124000000000001
imbalanced,class_balanced_loss,seed_18,1,0.3004,0.40319998793363593,0.3004,0.2605639456664467,0.26688390846360505,0.6401,0.6401
imbalanced,class_balanced_loss,seed_18,2,0.5373,0.5439644981613595,0.5373,0.5170880868865513,0.5231885684302737,0.8364,0.8363999999999999
imbalanced,class_balanced_loss,seed_18,3,0.6095,0.6217716433291764,0.6094999999999999,0.6041799599256122,0.6077102498247478,0.8724,0.8724000000000001
imbalanced,class_balanced_loss,seed_18,4,0.6303,0.6631546064838835,0.6303,0.632903666343652,0.6382355750608737,0.8777,0.8777000000000001
imbalanced,class_balanced_loss,seed_18,5,0.642,0.6784208722470092,0.642,0.6425850931275087,0.6546884638746427,0.8825,0.8825000000000001
imbalanced,class_balanced_loss,seed_18,6,0.6664,0.7142442450069895,0.6664000000000001,0.6710432919059468,0.684438807195652,0.8863,0.8863
imbalanced,class_balanced_loss,seed_18,7,0.6294,0.700884192072454,0.6294,0.6173078909664238,0.6630487114710674,0.8507,0.8507
imbalanced,class_balanced_loss,seed_18,8,0.6687,0.7181919032549774,0.6687000000000001,0.6585325189767859,0.6874184263742941,0.881,0.881
imbalanced,class_balanced_loss,seed_18,9,0.7163,0.7363922081757752,0.7163,0.7171568120952367,0.7294479646849136,0.9078,0.9077999999999999
