criterion,epoch,confidence,confidence_std,confidence_ci_low,confidence_ci_high,accuracy,accuracy_std,accuracy_ci_low,accuracy_ci_high,count,n_seeds
class_balanced_loss,4,0.7349498272753283,0.022456915445478988,0.7152654729909144,0.7546341815597423,0.63426,0.006178430221342622,0.6288443671320889,0.6396756328679112,50000,5
class_balanced_loss,5,0.7601848315877006,0.007269946641320791,0.7538124423936471,0.766557220781754,0.6532600000000001,0.01508502568774744,0.6400373919909876,0.6664826080090125,50000,5
class_balanced_loss,6,0.7839320716139995,0.00882614834038498,0.7761956114879092,0.7916685317400898,0.66808,0.01042866242621748,0.6589388743450273,0.6772211256549727,50000,5
class_balanced_loss,7,0.7951447514240814,0.007037118311021771,0.7889764452596933,0.8013130575884694,0.66642,0.02307177929852832,0.6461966937856344,0.6866433062143656,50000,5
class_balanced_loss,8,0.8143493553686507,0.00863439568113831,0.8067809738590896,0.8219177368782118,0.6773399999999999,0.024640982123283996,0.655741226864472,0.6989387731355279,50000,5
class_balanced_loss,9,0.8265500479371003,0.0174284249315151,0.8112733599251533,0.8418267359490473,0.70052,0.023385615236721922,0.6800216044569337,0.7210183955430663,50000,5
class_balanced_loss,10,0.8447493027109344,0.007973194302749025,0.8377604897631001,0.8517381156587687,0.71558,0.013992569456679479,0.7033149720978711,0.7278450279021289,50000,5
class_balanced_loss,11,0.8447289624110865,0.01156815528058588,0.8345890272310745,0.8548688975910985,0.70802,0.018176550827921124,0.692087550726897,0.723952449273103,50000,5
class_balanced_loss,12,0.8604725512683109,0.006406563522864743,0.8548569507449069,0.8660881517917149,0.7371000000000001,0.011508257904652671,0.7270125671848583,0.7471874328151419,50000,5
class_balanced_loss,13,0.8692854804958141,0.011270475719086964,0.8594064729559315,0.8791644880356967,0.72954,0.009142647319020905,0.7215261162873423,0.7375538837126576,50000,5
class_balanced_loss,14,0.8763023103729839,0.007902217554901534,0.8693757112876891,0.8832289094582787,0.72764,0.015467320388483585,0.7140822959111802,0.7411977040888197,50000,5
class_balanced_loss,15,0.8752884246053263,0.011534329451029123,0.8651781390721938,0.8853987101384588,0.7325200000000001,0.00756022486438069,0.7258931707249998,0.7391468292750003,50000,5
class_balanced_loss,16,0.8845587709737966,0.011013876829746326,0.8749046822772446,0.8942128596703487,0.7321799999999999,0.013115334536335713,0.7206839024082082,0.7436760975917917,50000,5
class_balanced_loss,17,0.8936455090251038,0.012582730311889612,0.8826162596196903,0.9046747584305173,0.73824,0.019854546078921065,0.7208367230396112,0.7556432769603888,50000,5
class_balanced_loss,18,0.8783803299812414,0.02095150308234496,0.8600155278130569,0.8967451321494259,0.71458,0.05768511073058627,0.6640167710777881,0.7651432289222119,50000,5
