criterion,epoch,confidence,confidence_std,confidence_ci_low,confidence_ci_high,accuracy,accuracy_std,accuracy_ci_low,accuracy_ci_high,count,n_seeds
focal_loss,2,0.6293768357503746,0.01690763026293105,0.6145566443926868,0.6441970271080625,0.67242,0.011401841956455955,0.6624258448761289,0.6824141551238712,50000,5
focal_loss,3,0.66389724457458,0.015911802115389458,0.649949935074162,0.677844554074998,0.70888,0.016022702643436897,0.6948354819007557,0.7229245180992442,50000,5
focal_loss,4,0.6903575831409768,0.009543744292937731,0.6819921224294141,0.6987230438525396,0.71596,0.009301774024346123,0.7078066355803264,0.7241133644196737,50000,5
focal_loss,5,0.7127500557764705,0.018960889485135,0.6961301033578424,0.7293700081950987,0.7338600000000001,0.023481226543773204,0.7132777974511959,0.7544422025488042,50000,5
focal_loss,6,0.736197015404977,0.0063406902531732015,0.7306391553482736,0.7417548754616803,0.74558,0.013085564565581404,0.7341099969380999,0.7570500030619002,50000,5
focal_loss,7,0.7559365870443265,0.0037395793635701677,0.7526587012079609,0.7592144728806922,0.7552800000000001,0.010318527026664208,0.7462354122791583,0.7643245877208418,50000,5
focal_loss,8,0.7745862593989528,0.011725403052976337,0.7643084904692576,0.7848640283286479,0.7615999999999999,0.00944536923576839,0.7533207688279647,0.7698792311720352,50000,5
focal_loss,9,0.7952319685353099,0.01406610420051851,0.7829024845882956,0.8075614524823241,0.7700400000000001,0.011994707166079532,0.7595261756073255,0.7805538243926746,50000,5
focal_loss,10,0.8078844183611873,0.010559496483890806,0.7986286115982966,0.817140225124078,0.78472,0.012577638888122047,0.7736952134242879,0.795744786575712,50000,5
focal_loss,11,0.8167571810232076,0.009192714758452477,0.8086994112649228,0.8248149507814924,0.7794,0.01250359948174926,0.768440111825388,0.790359888174612,50000,5
focal_loss,12,0.8294014112947895,0.010422780468207236,0.8202654414033339,0.8385373811862451,0.79428,0.012529046252608372,0.783297806747284,0.805262193252716,50000,5
focal_loss,13,0.8382395588395488,0.0057963207553208464,0.833158859686059,0.8433202579930387,0.7968200000000001,0.009378539331900224,0.7885993478214927,0.8050406521785075,50000,5
focal_loss,14,0.8430138160377816,0.007091212903153489,0.8367980938727867,0.8492295382027765,0.8037000000000001,0.012138368918433793,0.7930602505292653,0.8143397494707348,50000,5
focal_loss,15,0.8522228042564797,0.008125892775016576,0.8451001451963376,0.8593454633166218,0.80124,0.005380334562088111,0.7965239288215719,0.805956071178428,50000,5
focal_loss,16,0.851637871196121,0.0031504231393701043,0.8488764035594932,0.8543993388327488,0.8029999999999999,0.007268768809090026,0.7966286432214166,0.8093713567785833,50000,5
focal_loss,17,0.8575608547605752,0.004457307238534855,0.8536538527036446,0.8614678568175058,0.80702,0.00588319641011585,0.8018631509775833,0.8121768490224166,50000,5
focal_loss,18,0.8617678850021573,0.007973503477971818,0.8547788010502915,0.8687569689540231,0.8082,0.010838127144483976,0.7986999626948101,0.8177000373051899,50000,5
